scope,method,n,rmse,rmse_lo,rmse_hi,rmse_bca_lo,rmse_bca_hi,mae,mae_lo,mae_hi,mae_bca_lo,mae_bca_hi,median_abs,median_abs_lo,median_abs_hi,median_abs_bca_lo,median_abs_bca_hi,p90_abs,p90_abs_lo,p90_abs_hi,p90_abs_bca_lo,p90_abs_bca_hi,pearson_r,pearson_r_lo,pearson_r_hi,pearson_r_bca_lo,pearson_r_bca_hi,fisher_z,fisher_z_lo,fisher_z_hi,fisher_z_bca_lo,fisher_z_bca_hi,spearman,spearman_lo,spearman_hi,spearman_bca_lo,spearman_bca_hi,spearman_z,spearman_z_lo,spearman_z_hi,spearman_z_bca_lo,spearman_z_bca_hi
internal_edge20,OLS,20,1.069900778544029,0.748246389380477,1.3649974708975074,0.8021473715263535,1.4393893187949975,0.8481707058566561,0.5790523481970338,1.1475806223029867,0.601162413716958,1.1812175531775428,0.648377728991723,0.3958615903092595,1.154041215184124,0.2997557537724509,1.0648155601262648,1.7297304325588179,1.0833624322040787,2.4043572670697815,1.2432668702419831,2.4043572670697815,0.5508643282896606,0.19312028825950275,0.779797588268204,0.233618039079313,0.8022182403213778,0.6196213396920055,0.1955763222607232,1.044853873077295,0.23015776972697563,1.091694638245819,0.5052631578947369,0.07808946171341925,0.7904367769209228,0.04945073978674044,0.7797016922835932,0.5563485142749244,0.07824877391853693,1.0725947054016114,0.04324715197795378,1.0390316612114738
internal_edge20,ProtMutMap,20,0.9741170442497719,0.6993474452404245,1.216336502534482,0.733433786361516,1.2509361237078165,0.7856485770460386,0.5412468089100397,1.0471798680406907,0.557140815735761,1.064149314045085,0.6312731580617793,0.3475258816222432,1.0084129354275828,0.2165546930935327,0.9520103107289009,1.7121338481915847,0.9811359666802095,1.8957988394503662,1.0648155601262648,1.8957988394503662,0.5562323466143098,0.1798660770461703,0.7783153746280463,0.18864216765958167,0.7822421792636178,0.627360947165865,0.18184428472328493,1.0410830061554832,0.1826909219175005,1.0417355330508347,0.5082706766917293,0.05238981350198,0.8124054462934948,0.02761201614926457,0.8012139605462822,0.5603953085323411,0.05243782390961188,1.134063606535179,0.014538501950900038,1.0915802190102326
external_unique28_mean,ProtMutMap,28,1.1607648250501479,0.9201582768325777,1.3728145990083027,0.9395129547273702,1.3871543524523273,0.9664849716016299,0.7315318923630019,1.2074648828309424,0.7389019629371916,1.2170907633761132,0.8963893154673029,0.5908911069945413,1.3024156214803118,0.5595190615887744,1.2432668702419831,1.8993218880912826,1.578119065812173,1.9500530763672306,1.6402348110578824,2.056503143411735,0.7767242961455253,0.6200125186811973,0.8818144021401837,0.6233189280023864,0.884127281981461,1.0370596584225187,0.7250254239438826,1.3838677229584286,0.7278266387434321,1.3890807809139132,0.7837985769020251,0.5803685918733186,0.8866886688668867,0.6149792781152783,0.8981017803273209,1.0551449569682199,0.6630183293114481,1.4062196856852023,0.7097922682372073,1.4504872704040799
external_unique28_mean,Rosetta_flex_ddG,28,2.3523765323012515,1.7690085684606693,2.9047227097831905,1.8627880967235364,3.01781749424937,1.8434526193489174,1.3216436591938954,2.4027743200380347,1.3351724795509492,2.4230545185551873,1.7012044718496662,0.6760943374726326,2.6149285258599075,0.675791773517145,2.6069937553925735,3.260174958982565,2.7613799859893895,5.052001087350907,2.7884444632305527,5.526524848685572,0.3819574141743827,0.036810282151637744,0.6758331391713761,-0.016132556687229117,0.6465496257097938,0.4023494125156461,0.03682692162065297,0.8214036666911217,-0.021060313456161966,0.7657683109563104,0.4849480021893815,0.09340605892162313,0.7539951666273477,0.0793312083986893,0.746631799974284,0.5294335865367761,0.09367913622375756,0.9821501209189021,0.07691927694931132,0.961433347134665
external_unique28_standard_preferred,ProtMutMap,28,1.1605260542751037,0.9235632761695363,1.3682929551083691,0.9391043995629705,1.3801954465515125,0.9666503061600579,0.7315659562832629,1.2054542475891572,0.7343719300702936,1.2074209371615263,0.8963893154673029,0.5908911069945413,1.3024156214803118,0.5595190615887744,1.2432668702419831,1.8993218880912826,1.578119065812173,1.9500530763672306,1.6402348110578824,2.056503143411735,0.7755660228008338,0.6170777017536019,0.8799856803570903,0.6221744463021831,0.8825397300895824,1.0341464807154712,0.7202719113969417,1.3757041875726466,0.7256498592358163,1.3828222546498268,0.7837985769020251,0.5792372383290234,0.8878196315644762,0.6118838401073279,0.8977467046680568,1.0551449569682199,0.661314042790717,1.4115348998067376,0.7045949122560402,1.4502568947836179
external_unique28_standard_preferred,Rosetta_flex_ddG,28,2.3523765323012515,1.7787096720180606,2.8889589987769133,1.8758024883806061,3.0093408951075755,1.8434526193489174,1.3272400742756802,2.38723733895498,1.353937895169872,2.4208920622451693,1.7012044718496662,0.6760943374726326,2.6149285258599075,0.675791773517145,2.6069937553925735,3.260174958982565,2.7512726986205904,5.052001087350907,2.7884444632305527,5.526524848685572,0.3819574141743827,0.0396325573933189,0.6783645527789791,-0.0014600665734225149,0.6532132947976828,0.4023494125156461,0.03965332782980906,0.8260781825867076,-0.006903274051683835,0.7778551202378621,0.4849480021893815,0.10363743674162484,0.7579113201767088,0.09449965077250165,0.7540169229906613,0.5294335865367761,0.1040108932681887,0.9912887651251082,0.09006402692091284,0.9801957431534114
external_unique28_charge_preferred,ProtMutMap,28,1.164220526128468,0.931809959124449,1.3722642265299902,0.9512205150196485,1.3886342894477461,0.9821029433644363,0.7559352751265791,1.2145064004864465,0.7637330302796173,1.224328854583846,0.8963893154673029,0.5908911069945413,1.3024156214803118,0.5908911069945413,1.2432668702419831,1.8993218880912826,1.578119065812173,1.9500530763672306,1.6402348110578824,2.056503143411735,0.776903675458156,0.6236795205679662,0.8817983985318599,0.6250947277884487,0.8823455931260678,1.0375119968000517,0.7310045215770016,1.3837957753579306,0.7293078837265147,1.3822589880082736,0.7876299945265463,0.588879557820632,0.8888911788953007,0.6216629636351635,0.9007483637793735,1.0651579669535685,0.6759490745378788,1.416617587470512,0.7203695345441214,1.4660910123660331
external_unique28_charge_preferred,Rosetta_flex_ddG,28,2.3523765323012515,1.7787867015603778,2.897078039459313,1.8698740239106266,3.021100809290823,1.8434526193489174,1.3176605082212525,2.3995930907676133,1.346340566323682,2.438013323803355,1.7012044718496662,0.6760943374726326,2.6149285258599075,0.675791773517145,2.6069937553925735,3.260174958982565,2.7544656420375846,5.052001087350907,2.7884444632305527,5.526524848685572,0.3819574141743827,0.03805269513824278,0.6781259813110971,-0.01219561166500543,0.6492318911937629,0.4023494125156461,0.038071078090703855,0.8256363710867647,-0.017068438347365805,0.7715974670517138,0.4849480021893815,0.0985620754406803,0.7565265182742512,0.0850602537949488,0.7487603305785124,0.5294335865367761,0.09888310874138721,0.988042768420515,0.08242445329455947,0.9679193824638671
external_unique26_no_duplicates,ProtMutMap,26,1.203808286495487,0.9649745163616534,1.417029010420605,0.9826002089651884,1.4324713683886199,1.0322151985110242,0.7955199885169144,1.2764531045705605,0.8008186723269924,1.283159910631826,0.9191535817635008,0.6278964174594241,1.410692968027078,0.6250797849298662,1.3615643727186404,1.9000727108118036,1.6283363277059142,1.980467381237089,1.6286816060845033,2.056503143411735,0.7735276174957263,0.6166781350908078,0.8805436024873471,0.61719678027039,0.8810659095307238,1.0290514202321395,0.7196268872525796,1.378182367018126,0.7183103051825187,1.3750796217245933,0.7832478632478632,0.5682896463841537,0.8901534894569181,0.6045566059402614,0.9026161497412201,1.0537185745846314,0.6449930109287862,1.422664669554303,0.6946541687293107,1.4737235197850298
external_unique26_no_duplicates,Rosetta_flex_ddG,26,2.355638707493593,1.7318557330957287,2.93958311046554,1.8394319333471512,3.0746292505914083,1.817500603173387,1.2642299278196893,2.411875711683121,1.2942793574307838,2.452696060454415,1.6024290243365267,0.6655167925875353,2.6069937553925735,0.6652142286320477,2.5719188303455427,3.352548582271857,2.672943402932766,5.187579304875097,2.7230235095382898,5.526524848685572,0.4421947716846857,0.10314781152101514,0.7296672428285969,0.04891835485408297,0.697988869989818,0.47495576549520846,0.10351597736715783,0.9280153454442588,0.04305998162900672,0.8581826018343487,0.5678632478632478,0.19641584595718298,0.8158091420031376,0.17414356671050873,0.8054993320175476,0.6443634443555234,0.19900182902512856,1.1441569826547318,0.17195841021895797,1.1108122889350935
