leg_id,system,mode,cutoff_ps,t_start_ps,t_end_ps,production_origin_ps,production_elapsed_ns,nrep,dG_kcal,dG_err_kcal,replica_ns_elapsed,replica_ns_nominal,source_csv,source_log
cbae76b7dc4b2418,1AO7,partner2,1000,550.0,1000.0,100,0.9,32,11.13876119016076,0.5932079909766256,28.8,32.0,source_data/budget/legs/cbae76b7dc4b2418/bar_time_series.csv,source_data/budget/legs/cbae76b7dc4b2418/bar1.log
cbae76b7dc4b2418,1AO7,partner2,2000,1050.0,2000.0,100,1.9,32,11.122506828111144,0.2475399105393411,60.8,64.0,source_data/budget/legs/cbae76b7dc4b2418/bar_time_series.csv,source_data/budget/legs/cbae76b7dc4b2418/bar1.log
cbae76b7dc4b2418,1AO7,partner2,4000,2050.0,4000.0,100,3.9,32,9.47895882662348,0.5144705330878597,124.8,128.0,source_data/budget/legs/cbae76b7dc4b2418/bar_time_series.csv,source_data/budget/legs/cbae76b7dc4b2418/bar1.log
d415a4b107d76e1d,1AO7,complex,1000,550.0,1000.0,100,0.9,64,-188.3713037467413,0.2205143122247806,57.6,64.0,source_data/budget/legs/d415a4b107d76e1d/bar_time_series.csv,source_data/budget/legs/d415a4b107d76e1d/bar1.log
d415a4b107d76e1d,1AO7,complex,2000,1050.0,2000.0,100,1.9,64,-189.33767470959208,0.1967613568391802,121.6,128.0,source_data/budget/legs/d415a4b107d76e1d/bar_time_series.csv,source_data/budget/legs/d415a4b107d76e1d/bar1.log
d415a4b107d76e1d,1AO7,complex,4000,2050.0,4000.0,100,3.9,64,-189.34259862262476,0.3023038864153983,249.6,256.0,source_data/budget/legs/d415a4b107d76e1d/bar_time_series.csv,source_data/budget/legs/d415a4b107d76e1d/bar1.log
c55ee0475b2b6630,1AO7,partner2,1000,550.0,1000.0,100,0.9,64,-191.13238594914384,0.3008671709060129,57.6,64.0,source_data/budget/legs/c55ee0475b2b6630/bar_time_series.csv,source_data/budget/legs/c55ee0475b2b6630/bar1.log
c55ee0475b2b6630,1AO7,partner2,2000,1050.0,2000.0,100,1.9,64,-191.07281426435583,0.1023905888104152,121.6,128.0,source_data/budget/legs/c55ee0475b2b6630/bar_time_series.csv,source_data/budget/legs/c55ee0475b2b6630/bar1.log
c55ee0475b2b6630,1AO7,partner2,4000,2050.0,4000.0,100,3.9,64,-191.05908922110052,0.1126503607794001,249.6,256.0,source_data/budget/legs/c55ee0475b2b6630/bar_time_series.csv,source_data/budget/legs/c55ee0475b2b6630/bar1.log
1bcb241a905ea69b,1AO7,complex,1000,550.0,1000.0,100,0.9,64,26.158105383145617,0.2163569418521964,57.6,64.0,source_data/budget/legs/1bcb241a905ea69b/bar_time_series.csv,source_data/budget/legs/1bcb241a905ea69b/bar1.log
1bcb241a905ea69b,1AO7,complex,2000,1050.0,2000.0,100,1.9,64,25.49955310259499,0.2299089220415518,121.6,128.0,source_data/budget/legs/1bcb241a905ea69b/bar_time_series.csv,source_data/budget/legs/1bcb241a905ea69b/bar1.log
1bcb241a905ea69b,1AO7,complex,4000,2050.0,4000.0,100,3.9,64,26.07196718814229,0.236238905325854,249.6,256.0,source_data/budget/legs/1bcb241a905ea69b/bar_time_series.csv,source_data/budget/legs/1bcb241a905ea69b/bar1.log
414333d35450c2d0,1AO7,partner2,1000,550.0,1000.0,100,0.9,64,25.60737125794389,0.2329042628010768,57.6,64.0,source_data/budget/legs/414333d35450c2d0/bar_time_series.csv,source_data/budget/legs/414333d35450c2d0/bar1.log
414333d35450c2d0,1AO7,partner2,2000,1050.0,2000.0,100,1.9,64,26.241797677486897,0.1837886580225417,121.6,128.0,source_data/budget/legs/414333d35450c2d0/bar_time_series.csv,source_data/budget/legs/414333d35450c2d0/bar1.log
414333d35450c2d0,1AO7,partner2,4000,2050.0,4000.0,100,3.9,64,25.687899938637923,0.1704747380393077,249.6,256.0,source_data/budget/legs/414333d35450c2d0/bar_time_series.csv,source_data/budget/legs/414333d35450c2d0/bar1.log
db22d02d2b28f559,1CHO,complex,1000,550.0,1000.0,100,0.9,32,-71.4285929185572,0.2617252263569443,28.8,32.0,source_data/budget/legs/db22d02d2b28f559/bar_time_series.csv,source_data/budget/legs/db22d02d2b28f559/bar1.log
db22d02d2b28f559,1CHO,complex,2000,1050.0,2000.0,100,1.9,32,-71.40385920025253,0.2136564256021137,60.8,64.0,source_data/budget/legs/db22d02d2b28f559/bar_time_series.csv,source_data/budget/legs/db22d02d2b28f559/bar1.log
db22d02d2b28f559,1CHO,complex,4000,2050.0,4000.0,100,3.9,32,-71.81507501064183,0.1224952807788677,124.8,128.0,source_data/budget/legs/db22d02d2b28f559/bar_time_series.csv,source_data/budget/legs/db22d02d2b28f559/bar1.log
